area,category,cname,ename,grade,language,premiere,rank,rank_24h,tv_station,views
美国,动作/科幻/冒险,星球大战9：天行者崛起,Star Wars: The Rise of Skywalker,b,英语,2019-12-20,7189,12,,121742
美国,科幻/动画,副本：义体置换,Altered Carbon: Resleeved,c,英语/日语,2020-03-19 周四,999999,8,NETFLIX,5598
美国,恐怖/惊悚/悬疑,隐形人,The Invisible Man,c,英语,2020-02-28,7571,6,,29133
美国,惊悚,难以置信的怪物,Impossible Monsters,c,英语,2019-03-09,9794,4,,50705
