"mid","content","uid","area","nick","ip","newsid","time"
"5E9D1064-73AB289E-17EB3D583-95C-8D2","特朗普问记者来自哪里是要知道记者来自哪家媒体，不是问记者出生在哪里或在哪里成长。","6420682115","北京","用户6420682115","115.171.40.158","comos-ircuyvh8608153","2020-04-20 11:00:52"
"5E9D0D19-DEB20A90-9E2AE053-95C-7E0","从个人角度来说，蛮担心这位记者安危。","2653610067","重庆","用户2653610067","222.178.10.144","comos-ircuyvh8608153","2020-04-20 10:46:50"
"5E9D0CDA-7415AF92-A9D4EAE9-95C-92B","美国总统像个疯子！中国政府外交发言人应该毫不客气的对特朗普的发言进行直接的驳斥！不要不痛不痒的说，需要给特朗普面子吗？看看他的德性，就应该直接怼过去","2849303273","广东广州","彬强之霸_952","116.21.175.146","comos-ircuyvh8608153","2020-04-20 10:45:47"
"5E9D0BB6-DA3BADFD-A2C75809-95C-91B","打倒美国法西斯！消灭美国恐怖主义头目特朗普！","2730973193","山东威海","爱在深处乐园_370","218.59.173.253","comos-ircuyvh8608153","2020-04-20 10:40:55"
"5E9CFDE1-3D842302-45B69914-95C-80D","你们美国标榜的言论自由在哪里？","1169594644","江苏扬州","大内高手锦衣卫","61.132.35.2","comos-ircuyvh8608153","2020-04-20 09:41:54"
"5E9CFBD9-7AC13716-A36190DA-95C-A24","张经义问心无愧。可是，特朗普张口就来，无心可问","2741080282","江苏苏州","cqhgy","122.193.55.22","comos-ircuyvh8608153","2020-04-20 09:33:14"
"5E9CF887-7054C017-5F9AC574-95C-8DB","地球村现在都知道美国政客很卑鄙无耻！","1603978612","江苏淮安","楚钦童春","112.84.192.23","comos-ircuyvh8608153","2020-04-20 09:19:03"
"5E9CF732-7B8347FC-14ECE974A-95C-807","既然是在上海东方卫视，就不该说是台湾，确实撒谎了","5617129290","山东潍坊","触不可及1898","123.131.71.252","comos-ircuyvh8608153","2020-04-20 09:13:24"
"5E9CE6C7-1762296D-552194AF-95C-8D2","特朗普急了，想尽办法推卸责任，像疯狗咬人一样","1428264111","香港","tym8588_bq4","23.98.41.109","comos-ircuyvh8608153","2020-04-20 08:03:19"
"5E9CE656-1577E58A2-6276FCA9-95C-8EF","好分享","1651965097","广东","镜域","2409:8954:c8c:2bd:fcc0:8ff1:2a28:3ca0","comos-ircuyvh8608153","2020-04-20 08:01:26"
"5E9CE2FA-7D2C72DD-1311DFF65-95C-8A2","美国是言论自由的，但不准不同声音自由","5119016805","河南漯河","蒗囝芣洄34110","125.44.114.221","comos-ircuyvh8608153","2020-04-20 07:47:06"
"5E9CE2AC-73D34385-4EDD3B57-95C-8BF","蠢货，1945年前支持希特勒纳粹党的德国财团和大家族当时也没想到过这么强大的德国居然会家破人亡！","1323121495","浙江金华","啊比","115.211.67.133","comos-ircuyvh8608153","2020-04-20 07:45:48"
"5E9CCD59-7756293C-1828C89C5-95C-817","干得漂亮，让川普吃了个苍蝇的感觉","6485215685","重庆","原版玉米超人","119.86.41.60","comos-ircuyvh8608153","2020-04-20 06:14:49"
"5E9C9AB7-73B74A7C-5A24BA84-95C-8CC","特朗普越来越不像人了，应该是外星球上的一粒尘埃！","1512356484","北京海淀","黄一辉的微博","115.183.74.124","comos-ircuyvh8608153","2020-04-20 02:38:47"
"5E9C8580-6FA45C14-13DD8B496-95C-8B7","当时特朗普问你来自哪里肯定是想知道是哪个媒体的，而不是国籍或地区的。记着说来自台湾是不正确的。","5332579478","天津","天津蓝天大海","111.164.92.20","comos-ircuyvh8608153","2020-04-20 01:08:16"
