肖申克的救赎 The Shawshank Redemption,9.7,345617,['不需要女主角的好电影', '策划了19年的私奔……', '超级喜欢超级喜欢,不看的话人生不圆满.', '人的生命不过是从一个洞穴通往另一个世界..然后在那个世界的雨中继续颤抖.i hope', '因为1994年台湾引进了一部比较卖座的老片The Sting，被错译成了《刺激》。到了1995年本片上映时，片商觉得其剧情与《刺激》有类似的地方（大概都属于高智商的复仇？），因此被译成了《刺激1995》，1998年又有一部片子Return To Paradise因为含有牢狱情节，被译成《刺激1998》！'],不需要女主角的好电影,策划了19年的私奔……,超级喜欢超级喜欢,不看的话人生不圆满.,人的生命不过是从一个洞穴通往另一个世界..然后在那个世界的雨中继续颤抖.i hope,因为1994年台湾引进了一部比较卖座的老片The Sting，被错译成了《刺激》。到了1995年本片上映时，片商觉得其剧情与《刺激》有类似的地方（大概都属于高智商的复仇？），因此被译成了《刺激1995》，1998年又有一部片子Return To Paradise因为含有牢狱情节，被译成《刺激1998》！ 
霸王别姬,9.6,278922,['陈凯歌可以靠它吃两辈子饭了，现在看来江郎才尽也情有可原', '不解,拍出过霸王别姬的人怎能拍出无极来', '人戏不分，不疯魔不成活。', '仨小时的电影，我没上一次厕所，一直专注的在看，除了牛逼我想不出其他的词儿了。直男对于gay来说终究是祸害，他们不敢爱，面对自己的感情畏畏缩缩，伤了别人还假惺惺。每个人都演的很好，蒋雯丽虽然出场不到半小时，也是把角色诠释的淋漓尽致。这真是陈导的巅峰之作了。', '凱歌也曾NB過，那時風華絕代的張國榮也還那麼年輕……'],陈凯歌可以靠它吃两辈子饭了，现在看来江郎才尽也情有可原,不解,拍出过霸王别姬的人怎能拍出无极来,人戏不分，不疯魔不成活。,仨小时的电影，我没上一次厕所，一直专注的在看，除了牛逼我想不出其他的词儿了。直男对于gay来说终究是祸害，他们不敢爱，面对自己的感情畏畏缩缩，伤了别人还假惺惺。每个人都演的很好，蒋雯丽虽然出场不到半小时，也是把角色诠释的淋漓尽致。这真是陈导的巅峰之作了。,凱歌也曾NB過，那時風華絕代的張國榮也還那麼年輕…… 
阿甘正传 Forrest Gump,9.5,221737,['我生命里最温暖的一部电影', '太甜美的美國夢', '人生就像一盒巧克力，你不知道会选中哪一颗。', '这部电影的主题是：“保守主义始终代表美国先进生产力的发展要求，始终代表美国先进文化的前进方向，始终代表美国最广大人民的根本利益。”', '他的十二支船，每一支都是她的名字。她走后，他只得跑遍世界的每一个湖泊和沙漠来思念她，只等她一声召唤便死心塌地的回到她的身边。好莱坞编造一个这么纯粹的故事，让我们看到我们所拥有的感情，是多么的残破不堪。这简直是残忍的，不道德的。'],我生命里最温暖的一部电影,太甜美的美國夢,人生就像一盒巧克力，你不知道会选中哪一颗。,这部电影的主题是：“保守主义始终代表美国先进生产力的发展要求，始终代表美国先进文化的前进方向，始终代表美国最广大人民的根本利益。”,他的十二支船，每一支都是她的名字。她走后，他只得跑遍世界的每一个湖泊和沙漠来思念她，只等她一声召唤便死心塌地的回到她的身边。好莱坞编造一个这么纯粹的故事，让我们看到我们所拥有的感情，是多么的残破不堪。这简直是残忍的，不道德的。 
这个杀手不太冷 Léon,9.4,270936,['萝莉有颗御姐心，正太有个大叔身——邪恶又天真、残酷又温柔，多完美~', '一半的魅力来自反派：Gary Oldman.', '我没啥感觉的公认好片。', '小妞造型不错，赶在长残之前拍完了', "Léon： You're not going to lose me. You've given me a taste for life. I wanna be happy. Sleep in a bed, have roots. And you'll never be alone again, Mathilda. Please, go now, baby, go. Calm down, go no..."],萝莉有颗御姐心，正太有个大叔身——邪恶又天真、残酷又温柔，多完美~,一半的魅力来自反派：Gary Oldman.,我没啥感觉的公认好片。,小妞造型不错，赶在长残之前拍完了,Léon： You're not going to lose me. You've given me a taste for life. I wanna be happy. Sleep in a bed, have roots. And you'll never be alone again, Mathilda. Please, go now, baby, go. Calm down, go no... 
美丽人生 La vita è bella,9.5,190348,['我以为如此智慧的一个人，在那几声枪响过后，必定是会走出来，继续对他的公主说早安的...', '喜剧的开始，悲剧的结束，\r\n满满的亲情，无限的父爱', '绝对难忘的一部片子----影片结尾美国大兵的那句 hei! boy! 叫人已经凉透了的心又感到了温暖。', '很久以前看过的，永远难忘片中父亲的鬼脸', '对我说：“早上好，公主”吧'],我以为如此智慧的一个人，在那几声枪响过后，必定是会走出来，继续对他的公主说早安的...,喜剧的开始，悲剧的结束，
满满的亲情，无限的父爱,绝对难忘的一部片子----影片结尾美国大兵的那句 hei! boy! 叫人已经凉透了的心又感到了温暖。,很久以前看过的，永远难忘片中父亲的鬼脸,对我说：“早上好，公主”吧 
泰坦尼克号 Titanic,9.4,204732,['那对对死无所畏惧的老夫妇，那个不为外界干扰的乐队，那个为生而做一次假父亲的男人，那个为爱人吹响口哨的女人。都是为了一种心灵上的执着。', '爱你原本只是一瞬，却不知在时间的洪流中成了永恒。', '当老年的Rose午夜梦回，一个长镜头穿过大堂，摇上楼梯，站在钟表前的Jack转过身来，意气风发，潇洒倜傥，宛如昨日。', '若干年后，2010年12月27日凌晨一点半，我不知道还有谁醒着没睡，还有谁和我一样，刚重温过这片子，或是刚刚打开准备重温。我又哭得很惨，这是毫无疑问的。我想，之所以不情愿活着，是因为没有那个如此相爱想要厮守的人；不情愿死去，是因为没有一个人如此爱我，值得我为他去死。', '看了四遍，最后一次也是五年前了吧。不知再拿出来重温的话，会不会嚎啕大哭，像小学那时一样。 1998，5'],那对对死无所畏惧的老夫妇，那个不为外界干扰的乐队，那个为生而做一次假父亲的男人，那个为爱人吹响口哨的女人。都是为了一种心灵上的执着。,爱你原本只是一瞬，却不知在时间的洪流中成了永恒。,当老年的Rose午夜梦回，一个长镜头穿过大堂，摇上楼梯，站在钟表前的Jack转过身来，意气风发，潇洒倜傥，宛如昨日。,若干年后，2010年12月27日凌晨一点半，我不知道还有谁醒着没睡，还有谁和我一样，刚重温过这片子，或是刚刚打开准备重温。我又哭得很惨，这是毫无疑问的。我想，之所以不情愿活着，是因为没有那个如此相爱想要厮守的人；不情愿死去，是因为没有一个人如此爱我，值得我为他去死。,看了四遍，最后一次也是五年前了吧。不知再拿出来重温的话，会不会嚎啕大哭，像小学那时一样。 1998，5 
千与千寻 千と千尋の神隠し,9.3,255315,['曾发生过的事请不可能忘记 只不过是你想不起罢了', '最好的宫崎骏，最好的久石让。', '又是个成人动画,估计大部分中国观众很难体会什么.', '我与猪都认可的片儿。', '曾经发生过的事情是不可能忘记的，只是想不起来罢了……你会帮我想起自己是谁对吧'],曾发生过的事请不可能忘记 只不过是你想不起罢了,最好的宫崎骏，最好的久石让。,又是个成人动画,估计大部分中国观众很难体会什么.,我与猪都认可的片儿。,曾经发生过的事情是不可能忘记的，只是想不起来罢了……你会帮我想起自己是谁对吧 
辛德勒的名单 Schindler's List,9.5,109697,['印象很深刻的是黑白画面中的红色。', '这不止是剧情，更是技术、镜头、剪辑、演技和配乐的综合胜利。表达是一出技巧活，不以剧本和背景定优劣，这一切都是导演的功力和运气造成，不可求，但可遇——《辛德勒的名单》可谓厚积薄发。而实论背景，辛德勒本人之事尚存争议，电影却已在全世界人面前诠释并且定性了，由此可见媒体的影响之大', '救人一命就是救全世界.', '请看一部没有笑容的电影吧', '救人一命等于救全人类。集中营进得来，出不去，除非你从焚尸炉的烟囱里爬出去。'],印象很深刻的是黑白画面中的红色。,这不止是剧情，更是技术、镜头、剪辑、演技和配乐的综合胜利。表达是一出技巧活，不以剧本和背景定优劣，这一切都是导演的功力和运气造成，不可求，但可遇——《辛德勒的名单》可谓厚积薄发。而实论背景，辛德勒本人之事尚存争议，电影却已在全世界人面前诠释并且定性了，由此可见媒体的影响之大,救人一命就是救全世界.,请看一部没有笑容的电影吧,救人一命等于救全人类。集中营进得来，出不去，除非你从焚尸炉的烟囱里爬出去。 
盗梦空间 Inception,9.3,259226,['前期的口碑营销确实有点儿过了，绝对还没有达到神作的级别，但依旧是近年来最好的影片，诺兰独有的叙事技巧视觉风格以及影像语言都被完美的贯彻其中，其遵循并热爱的怀古之风从人物造型，台词蔓延到拍摄手法以及特效制作上，不过正因为如此，一些动作戏上的处理还有视觉奇观的展现则还不是那么过瘾。', '我还能说什么呢 出影院第一件事就是拿iphone 上豆瓣 至少5颗星啊 第156个评分的 哈哈哈哈 一直要用心用脑看的电影 内容很严谨 逻辑性强 非常好看 等高人仔细分析。。 又去影院 看了一遍 很爽 很抖擞', 'Christopher Nolan是天才!', '诺兰+莱昂纳多的电影，我无话可说！', '概念不算新鲜但还不错 ;p 充斥许多漂亮的慢动作镜头和带点匪夷所思的建筑构想，视觉效果挺棒的！偶尔会令我想起Paprika……'],前期的口碑营销确实有点儿过了，绝对还没有达到神作的级别，但依旧是近年来最好的影片，诺兰独有的叙事技巧视觉风格以及影像语言都被完美的贯彻其中，其遵循并热爱的怀古之风从人物造型，台词蔓延到拍摄手法以及特效制作上，不过正因为如此，一些动作戏上的处理还有视觉奇观的展现则还不是那么过瘾。,我还能说什么呢 出影院第一件事就是拿iphone 上豆瓣 至少5颗星啊 第156个评分的 哈哈哈哈 一直要用心用脑看的电影 内容很严谨 逻辑性强 非常好看 等高人仔细分析。。 又去影院 看了一遍 很爽 很抖擞,Christopher Nolan是天才!,诺兰+莱昂纳多的电影，我无话可说！,概念不算新鲜但还不错 ;p 充斥许多漂亮的慢动作镜头和带点匪夷所思的建筑构想，视觉效果挺棒的！偶尔会令我想起Paprika…… 
id:3011091 抓去出错，跳过 
id:1292001 抓去出错，跳过 
机器人总动员 WALL·E,9.3,151025,['乡下文艺小伙儿追求都市女精英的故事……以及……', '浪漫得一塌糊涂，像废墟中开出的花，像牵手散步的下午，像世上所有伟大的爱情。', '陈奕迅都为你唱歌了', '清纯乡下少男与前卫暴力冰美人的爱情故事啊～xixi', '到底有多少人是因为《机器人总动员》这个烂译名错过它的！太出色的一部动画了，你找不到替代品的。默片，看似简单又非常复杂的设计，怎么那么棒，那么感人。'],乡下文艺小伙儿追求都市女精英的故事……以及……,浪漫得一塌糊涂，像废墟中开出的花，像牵手散步的下午，像世上所有伟大的爱情。,陈奕迅都为你唱歌了,清纯乡下少男与前卫暴力冰美人的爱情故事啊～xixi,到底有多少人是因为《机器人总动员》这个烂译名错过它的！太出色的一部动画了，你找不到替代品的。默片，看似简单又非常复杂的设计，怎么那么棒，那么感人。 
