电影名称,评分,短评数量,前 5 条热门短评
乱世佳人 Gone with the Wind,9.3,88221,那么早期的电影居然到现在也看不出瑕疵，太崇拜那个导演了。
乱世佳人 Gone with the Wind,9.3,88221,Clark Gable你真是每一个女人都会梦想得到的男人
乱世佳人 Gone with the Wind,9.3,88221,永远的经典，永不被打倒的勇气。
乱世佳人 Gone with the Wind,9.3,88221,原来80年前斯嘉丽就当了黑寡妇。
乱世佳人 Gone with the Wind,9.3,88221,我不说。什么都不说。
末代皇帝 The Last Emperor,9.2,91939,有史以来一部最地道最出色的中国电影，居然，Made By Italian～
末代皇帝 The Last Emperor,9.2,91939,溥仪只是那个大时代里一个无法左右自己命运的小人物，注定在历史洪流中成为悲剧人物。……贝托鲁奇并没有洋洋洒洒的去讲溥仪的故事与中国的历史，而是选择了一个独特的视角来看待末代皇帝的人生。只是……紫禁城太监还有皇帝与皇妃在后宫都是一口英文……★★★★☆
末代皇帝 The Last Emperor,9.2,91939,这不是你的错……这真的不是你的错。或许隔着银幕来看，溥仪的人生遭遇令人唏嘘，然而，比起前朝旧史的末代君王们，他这个退位皇帝已经算是得善终了。
末代皇帝 The Last Emperor,9.2,91939,太寂寞太寂寞了，这样一个孩子从小到大都是寂寞的，好不容易有一点儿亲情、爱情、友情，很快都被剥夺掉了。他因为寂寞而衍生出的种种行为都挫败了，最终给他带来更深的寂寞感。这也是看了这么多遍，依旧这么打动我的地方吧。真是从一开始音乐一起就难过得不行。
末代皇帝 The Last Emperor,9.2,91939,能赶上电影节3D巨幕演《末代皇帝》真不容易。全片处处都是痛点。尊龙演的溥仪太经典。最后登上宫殿时，小心翼翼回头看，那种微妙的感情，配上一只穿越半个多世纪的蝈蝈，精妙动人。
寻梦环游记 Coco,9.1,255826,邻座的女孩哭倒在我怀里啊电影多么美妙！
寻梦环游记 Coco,9.1,255826,我们是人类的一分子，而人类是充满激情的。医学、法律、商业、科技，这些都是崇高的追求，足以支撑人的一生。但音乐、诗歌、梦想、情感，这些才是我们活着的意义。
寻梦环游记 Coco,9.1,255826,11月1日亡灵节当天，墨西哥城的影院里，隔壁座儿的小男孩画着鬼脸儿穿着骷髅服，老奶奶抱着万寿菊，举家一起看coco。生活与动画交叠而映，感慨又感动，炫目又泪目。这才叫文化输出，好羡慕，好嫉妒。（ps：盖尔加西亚~不枉爱了你十余年）（pps：开场前送了20分钟冰雪奇缘番外 ，以为走错片场）
寻梦环游记 Coco,9.1,255826,人有三次死亡。第一次是生物学的死亡；第二次是社会宣布你死亡；第三次是最后一个记得你的人离开这个世界。想念上个月去世的外婆，想念老爸，想念所有离我而去的人们。后悔没带纸，平复了半天情绪最后离开放映厅。。。
寻梦环游记 Coco,9.1,255826,不算皮克斯史上最佳，但在今年这个格外寒冷的冬天，它足够温暖。
摔跤吧！爸爸 Dangal,9.0,217272,阿米尔一人饰演男主角19、29、55岁三个人生段。他首先完成了19岁的戏，然后疯狂增肥，一个月时间变成了体重194斤的55胖大爷，拍完老年戏后，又用5个月的时间疯狂减肥，回去拍29的戏！所以：为什么要这么折腾自己？直接拍完29再拍55不就好了？阿米尔说：那样我就没有动力瘦回去了！
